TimeStamp	HandX	HanY	HandZ	KonbX	KonbY	KonbZ	MarkerX	MarkerY	MarkerZ
2022-03-12T14:05:39Z	0.3712146	0.06099543	0.7043852	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:39Z	0.3723142	0.07387932	0.697823	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:39Z	0.3735972	0.0865503	0.6913377	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:39Z	0.3752999	0.09872001	0.6851012	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.3768597	0.1105051	0.6788044	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.3785815	0.1217897	0.6727774	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.3804376	0.1323546	0.6669343	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.3841444	0.1519324	0.655826	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.3861607	0.1606244	0.6505066	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.3881814	0.1686806	0.645434	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.3901336	0.1761292	0.6405388	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.392075	0.1829145	0.6356736	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.3941681	0.1889949	0.631056	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.396239	0.1948081	0.6265129	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.3982635	0.1999979	0.6220538	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4003405	0.204801	0.6177123	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4045327	0.2131955	0.6096669	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4065673	0.2167019	0.6059561	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4087042	0.2198432	0.6020704	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.41052	0.2227023	0.5985926	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4123049	0.2253218	0.595222	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4138342	0.2278764	0.5922668	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4155042	0.2298847	0.5890388	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4168532	0.2320825	0.5862971	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4183332	0.2337119	0.5832382	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4216782	0.2376852	0.5751624	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.422466	0.2385278	0.5726357	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4230767	0.2392365	0.5704167	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4237949	0.239619	0.5680385	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.424453	0.2399928	0.565818	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4250324	0.2399962	0.5637973	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4255692	0.2402343	0.5618079	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4262987	0.2400605	0.5586125	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4266769	0.2399471	0.5573061	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.427165	0.2393197	0.5558759	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4278011	0.2383562	0.553723	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4278011	0.2383562	0.553723	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4283093	0.2379167	0.5533755	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4289892	0.2372749	0.5530279	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4295767	0.2368432	0.5528453	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4309579	0.2352678	0.5525821	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.431723	0.2342169	0.5524901	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4324532	0.2330852	0.5525383	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4340511	0.230246	0.5526184	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4352714	0.2280779	0.5530916	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4359702	0.2269604	0.5528521	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4370265	0.2253337	0.553089	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4379354	0.2235149	0.5535246	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.440036	0.2200097	0.5546388	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4409788	0.218514	0.5551985	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
2022-03-12T14:05:40Z	0.4420025	0.2167593	0.5560161	-1.241764E-07	-0.4203528	0	0.7416667	-0.422277	0.0333334	
