TimeStamp	HandX	HanY	HandZ	KonbX	KonbY	KonbZ	MarkerX	MarkerY	MarkerZ
2022-03-01T16:46:28Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.76843	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:28Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.76843	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:28Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768455	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:28Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768403	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:28Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768428	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:28Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768428	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:28Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768541	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:28Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768541	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:28Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768541	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:28Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768222	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:29Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768222	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:29Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768222	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:29Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.768222	0	0.7416667	-1.11	0.0333334	
2022-03-01T16:46:29Z	-1.402694	-0.2166181	0.8170266	-1.241764E-07	1.767351	0	0.7416667	-1.11	0.0333334	
