TimeStamp	HandX	HanY	HandZ	KonbX	KonbY	KonbZ	MarkerX	MarkerY	MarkerZ
2022-03-14T11:42:02Z	-0.6998893	0.05077603	0.5448217	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7001194	0.05050346	0.5447888	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.700295	0.05031538	0.5448659	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7004694	0.05008927	0.5448769	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7006596	0.04980254	0.5449125	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7006596	0.04980254	0.5449125	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7006596	0.04980254	0.5449125	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.701117	0.0486686	0.545193	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7011451	0.04840325	0.5452542	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7011658	0.0481885	0.5452873	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7011764	0.04799223	0.5452989	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7023834	0.04892062	0.5451722	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7025522	0.04897464	0.5451065	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7025048	0.04871072	0.5450536	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7025048	0.04871072	0.5450536	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7024392	0.04783248	0.5447385	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7025547	0.04771059	0.5445633	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7026576	0.04761553	0.544387	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7026996	0.04745305	0.5441844	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
2022-03-14T11:42:02Z	-0.7027709	0.04729405	0.5439868	-1.241764E-07	-0.9607311	0	0.7416667	-1.11	0.0333334	
